Treatment,Rep,Sex,MatTime,MatMass,GrowthRate,Notes
Gauze,2,F,42,475,11.31,Poor wing development
Gauze,2,F,42,406,9.667,
Gauze,2,F,42,356,8.476,
Gauze,2,F,42,402,9.571,
Gauze,2,F,42,355,8.452,Poor wing development
Gauze,2,F,42,279,6.643,
Gauze,2,F,42,286,6.81,
Gauze,2,F,42,279,6.643,"Poor wing development, missing 25% left hind leg"
Gauze,1,M,43,314,7.302,
Gauze,1,M,43,373,8.674,
Gauze,1,M,43,390,9.07,
Gauze,1,M,43,317,7.372,
Gauze,1,M,43,343,7.977,
Gauze,1,M,43,301,7,Poor wing dev
Gauze,1,M,43,292,6.791,
Gauze,1,M,43,273,6.349,
Gauze,1,M,43,353,8.209,
Gauze,1,F,43,392,9.116,
Gauze,1,F,43,343,7.977,
Gauze,1,F,43,381,8.86,"Poor wing dev, missing outer right wing (hard part)"
Gauze,2,M,43,285,6.628,
Gauze,2,M,43,326,7.581,
Gauze,2,M,43,289,6.721,
Gauze,2,M,43,271,6.302,
Gauze,2,M,43,311,7.233,
Gauze,2,M,43,346,8.047,
Gauze,2,M,43,329,7.651,
Gauze,2,M,43,312,7.256,
Gauze,2,M,43,311,7.233,
Gauze,2,M,43,323,7.512,
Gauze,2,M,43,301,7,
Gauze,2,M,43,255,5.93,Missing left hind leg
Gauze,2,M,43,359,8.349,Poor right wing dev
Gauze,2,F,43,327,7.605,
Gauze,1,M,44,343,7.795,
Gauze,1,M,44,305,6.932,
Gauze,1,F,44,394,8.955,
Gauze,2,M,44,329,7.477,
Gauze,2,M,44,340,7.727,
Gauze,2,M,44,250,5.682,
Gauze,2,M,44,315,7.159,
Gauze,2,M,44,338,7.682,
Gauze,2,M,44,234,5.318,Poor wing dev
Gauze,2,F,44,375,8.523,
Gauze,2,F,44,417,9.477,
Gauze,1,F,45,470,10.444,
Gauze,1,F,45,345,7.667,Missing left hind leg
Gauze,1,F,45,434,9.644,
Gauze,1,F,45,408,9.067,
Gauze,2,M,45,394,8.756,
Gauze,2,F,45,478,10.622,
Gauze,2,F,45,459,10.2,
Gauze,2,F,45,475,10.556,
Gauze,2,F,45,440,9.778,
Gauze,2,F,45,473,10.511,
Gauze,2,F,45,459,10.2,
Gauze,1,M,46,412,8.957,
Gauze,1,M,46,448,9.739,
Gauze,1,M,46,345,7.5,Missing 50% right hind leg
Gauze,1,M,46,452,9.826,
Gauze,1,M,46,412,8.957,
Gauze,1,M,46,400,8.696,
Gauze,1,F,46,410,8.913,
Gauze,2,M,46,402,8.739,
Gauze,2,M,46,330,7.174,
Gauze,2,M,46,434,9.435,
Gauze,2,M,46,383,8.326,
Gauze,2,M,46,437,9.5,
Gauze,2,M,46,314,6.826,
Gauze,2,M,46,238,5.174,Missing right hind leg
Gauze,2,F,46,408,8.87,
Gauze,2,F,46,471,10.239,
Gauze,2,F,46,451,9.804,
Gauze,2,F,46,642,13.957,
Gauze,2,F,46,411,8.935,
Gauze,2,F,46,439,9.543,
Gauze,2,F,46,414,9,
Gauze,2,F,46,492,10.696,
Gauze,2,F,46,407,8.848,
Gauze,2,F,46,464,10.087,
Gauze,2,F,46,454,9.87,Missing 50% right front leg
Gauze,2,F,46,475,10.326,
Gauze,1,M,47,459,9.766,
Gauze,1,M,47,466,9.915,
Gauze,1,M,47,494,10.511,
Gauze,1,M,47,337,7.17,
Gauze,1,M,47,370,7.872,
Gauze,1,M,47,358,7.617,
Gauze,1,M,47,441,9.383,
Gauze,1,M,47,348,7.404,
Gauze,1,M,47,305,6.489,
Gauze,1,M,47,430,9.149,
Gauze,1,M,47,406,8.638,
Gauze,1,F,47,379,8.064,
Gauze,1,F,47,390,8.298,
Gauze,1,F,47,373,7.936,
Gauze,1,F,47,402,8.553,
Gauze,2,M,47,387,8.234,
Gauze,2,M,47,430,9.149,
Gauze,2,M,47,406,8.638,
Gauze,2,M,47,352,7.489,
Gauze,2,M,47,404,8.596,
Gauze,2,M,47,414,8.809,
Gauze,2,M,47,338,7.191,
Gauze,2,M,47,355,7.553,
Gauze,2,M,47,376,8,
Gauze,2,M,47,397,8.447,
Gauze,2,M,47,411,8.745,
Gauze,2,M,47,356,7.574,
Gauze,2,M,47,434,9.234,
Gauze,2,M,47,362,7.702,
Gauze,2,M,47,432,9.191,
Gauze,2,M,47,420,8.936,
Gauze,2,M,47,411,8.745,
Gauze,2,M,47,419,8.915,
Gauze,2,F,47,423,9,
Gauze,2,F,47,362,7.702,
Gauze,2,F,47,405,8.617,
Gauze,1,M,48,287,5.979,Missing right hind leg
Gauze,1,M,48,384,8,
Gauze,1,M,48,324,6.75,
Gauze,1,F,48,372,7.75,
Gauze,1,F,48,456,9.5,
Gauze,2,M,48,420,8.75,
Gauze,2,M,48,361,7.521,
Gauze,2,M,48,375,7.813,
Gauze,2,F,48,410,8.542,Poor wing dev
Gauze,2,F,48,519,10.813,
Gauze,1,M,49,366,7.469,
Gauze,2,M,49,284,5.796,
Gauze,2,F,49,418,8.531,
Gauze,2,F,49,350,7.143,
1Sham,1,F,39,434,11.128,
1Sham,1,F,39,422,10.821,
1Sham,1,F,39,394,10.103,
1Sham,1,F,39,477,12.231,
1Sham,1,F,39,380,9.744,
1Sham,2,F,39,341,8.744,
1Sham,1,M,40,365,9.125,
1Sham,1,M,40,355,8.875,
1Sham,1,M,40,379,9.475,
1Sham,1,F,40,398,9.95,
1Sham,1,F,40,355,8.875,
1Sham,1,F,40,347,8.675,
1Sham,1,F,40,477,11.925,
1Sham,1,F,40,495,12.375,
1Sham,1,F,40,335,8.375,
1Sham,1,F,40,378,9.45,
1Sham,1,F,40,417,10.425,
1Sham,1,F,40,469,11.725,
1Sham,1,F,40,317,7.925,
1Sham,1,F,40,371,9.275,
1Sham,1,F,40,348,8.7,
1Sham,2,F,40,310,7.75,
1Sham,2,F,40,423,10.575,
1Sham,2,F,40,407,10.175,
1Sham,1,M,41,375,9.146,
1Sham,1,M,41,417,10.171,
1Sham,1,M,41,349,8.512,
1Sham,1,M,41,281,6.854,
1Sham,1,M,41,357,8.707,
1Sham,1,M,41,365,8.902,
1Sham,1,M,41,324,7.902,Poorish wing development
1Sham,1,M,41,389,9.488,
1Sham,1,M,41,385,9.39,
1Sham,1,M,41,348,8.488,
1Sham,1,M,41,376,9.171,
1Sham,1,F,41,428,10.439,
1Sham,1,F,41,369,9,
1Sham,1,F,41,368,8.976,
1Sham,1,F,41,408,9.951,
1Sham,1,F,41,400,9.756,
1Sham,1,F,41,357,8.707,
1Sham,1,F,41,366,8.927,
1Sham,1,F,41,428,10.439,
1Sham,2,M,41,390,9.512,
1Sham,2,M,41,289,7.049,
1Sham,2,M,41,343,8.366,
1Sham,2,M,41,301,7.341,
1Sham,2,M,41,322,7.854,
1Sham,2,M,41,322,7.854,
1Sham,2,M,41,343,8.366,
1Sham,2,F,41,298,7.268,
1Sham,2,F,41,342,8.341,
1Sham,2,F,41,332,8.098,
1Sham,2,F,41,447,10.902,
1Sham,2,F,41,403,9.829,
1Sham,2,F,41,282,6.878,
1Sham,1,M,42,366,8.714,
1Sham,1,M,42,369,8.786,
1Sham,1,M,42,426,10.143,
1Sham,1,M,42,385,9.167,
1Sham,1,M,42,383,9.119,
1Sham,1,M,42,301,7.167,
1Sham,1,M,42,311,7.405,
1Sham,1,M,42,291,6.929,
1Sham,1,M,42,320,7.619,
1Sham,1,M,42,313,7.452,
1Sham,1,M,42,383,9.119,
1Sham,1,M,42,327,7.786,
1Sham,1,M,42,296,7.048,
1Sham,1,M,42,443,10.548,
1Sham,1,M,42,292,6.952,
1Sham,1,M,42,352,8.381,
1Sham,1,M,42,278,6.619,
1Sham,1,F,42,382,9.095,
1Sham,1,F,42,388,9.238,
1Sham,1,F,42,366,8.714,
1Sham,1,F,42,310,7.381,
1Sham,1,F,42,383,9.119,
1Sham,2,M,42,298,7.095,
1Sham,2,M,42,308,7.333,
1Sham,2,M,42,361,8.595,
1Sham,2,M,42,271,6.452,
1Sham,2,M,42,288,6.857,
1Sham,2,M,42,298,7.095,
1Sham,2,M,42,302,7.19,"Poor wing development, missing 50% right hind leg"
1Sham,2,M,42,319,7.595,
1Sham,2,M,42,341,8.119,
1Sham,2,M,42,362,8.619,
1Sham,2,M,42,361,8.595,
1Sham,2,M,42,333,7.929,
1Sham,2,M,42,324,7.714,
1Sham,2,F,42,287,6.833,
1Sham,2,F,42,442,10.524,
1Sham,2,F,42,394,9.381,
1Sham,2,F,42,269,6.405,
1Sham,1,M,43,306,7.116,
1Sham,1,M,43,323,7.512,
1Sham,1,M,43,280,6.512,
1Sham,1,M,43,327,7.605,
1Sham,1,M,43,317,7.372,
1Sham,1,M,43,326,7.581,
1Sham,1,M,43,305,7.093,
1Sham,1,M,43,379,8.814,
1Sham,2,M,43,339,7.884,
1Sham,2,M,43,295,6.86,
1Sham,2,M,43,297,6.907,
1Sham,2,M,43,335,7.791,
1Sham,2,M,43,288,6.698,
1Sham,1,M,44,290,6.591,
1Sham,1,M,44,313,7.114,
1Sham,1,M,44,291,6.614,
1Sham,1,M,44,340,7.727,
1Sham,1,M,44,312,7.091,
1Sham,1,F,44,360,8.182,Poorish wing dev
1Sham,1,F,44,477,10.841,
1Sham,2,M,44,285,6.477,
1Sham,2,M,44,337,7.659,
1Sham,2,M,44,296,6.727,
1Sham,2,F,44,413,9.386,
1Sham,1,M,45,451,10.022,
1Sham,1,M,45,407,9.044,
1Sham,1,M,45,394,8.756,
1Sham,1,M,45,399,8.867,
1Sham,1,F,45,380,8.444,
1Sham,1,F,45,438,9.733,
1Sham,1,F,45,528,11.733,
1Sham,1,F,45,509,11.311,
1Sham,2,M,45,435,9.667,
1Sham,2,M,45,270,6,
1Sham,2,F,45,465,10.333,
1Sham,2,F,45,456,10.133,
1Sham,2,F,45,389,8.644,
1Sham,2,F,45,444,9.867,
1Sham,2,F,45,385,8.556,
1Sham,2,F,45,390,8.667,
1Sham,2,F,45,456,10.133,
1Sham,2,F,45,420,9.333,"Missing left hind leg 85%, poor left wing dev"
1Sham,2,F,45,415,9.222,
1Sham,1,M,46,420,9.13,
1Sham,1,M,46,413,8.978,
1Sham,1,M,46,468,10.174,
1Sham,1,M,46,362,7.87,
1Sham,1,M,46,454,9.87,
1Sham,1,M,46,378,8.217,
1Sham,1,M,46,429,9.326,
1Sham,1,F,46,515,11.196,
1Sham,1,F,46,386,8.391,
1Sham,1,F,46,446,9.696,
1Sham,1,F,46,465,10.109,
1Sham,1,F,46,503,10.935,
1Sham,1,F,46,567,12.326,
1Sham,1,F,46,409,8.891,
1Sham,2,M,46,397,8.63,
1Sham,2,M,46,351,7.63,
1Sham,2,M,46,393,8.543,
1Sham,2,M,46,483,10.5,
1Sham,2,M,46,440,9.565,
1Sham,2,M,46,387,8.413,
1Sham,2,M,46,396,8.609,
1Sham,2,M,46,378,8.217,
1Sham,2,F,46,505,10.978,
1Sham,2,F,46,446,9.696,
1Sham,2,F,46,480,10.435,
1Sham,2,F,46,390,8.478,
1Sham,2,F,46,399,8.674,
1Sham,2,F,46,387,8.413,
1Sham,2,F,46,407,8.848,
1Sham,2,F,46,431,9.37,
1Sham,2,F,46,368,8,
1Sham,2,F,46,455,9.891,
1Sham,2,F,46,524,11.391,
1Sham,2,F,46,374,8.13,
1Sham,2,F,46,404,8.783,
1Sham,1,M,47,405,8.617,
1Sham,1,M,47,409,8.702,
1Sham,1,M,47,417,8.872,
1Sham,1,M,47,433,9.213,
1Sham,1,M,47,426,9.064,
1Sham,1,M,47,387,8.234,
1Sham,1,M,47,380,8.085,
1Sham,1,F,47,443,9.426,
1Sham,2,M,47,402,8.553,
1Sham,2,M,47,347,7.383,
1Sham,2,M,47,378,8.043,
1Sham,2,M,47,426,9.064,
1Sham,2,M,47,364,7.745,
1Sham,2,M,47,432,9.191,
1Sham,2,M,47,372,7.915,
1Sham,2,M,47,388,8.255,
1Sham,2,M,47,350,7.447,
1Sham,2,M,47,361,7.681,
1Sham,2,M,47,370,7.872,
1Sham,2,F,47,367,7.809,Right hind leg missing end foot function
1Sham,2,F,47,413,8.787,
1Sham,2,F,47,375,7.979,
1Sham,2,F,47,419,8.915,
1Sham,2,F,47,416,8.851,
1Sham,2,F,47,438,9.319,Poor bottom wing dev
1Sham,2,F,47,430,9.149,Missing left hind leg
1Sham,2,F,47,421,8.957,
1Sham,2,M,48,361,7.521,
1Sham,2,M,48,401,8.354,
1Sham,2,M,48,348,7.25,
1Sham,2,F,48,400,8.333,
1Sham,2,F,48,373,7.771,
Bys,1,F,40,346,8.65,
Bys,2,M,40,260,6.5,"Poor wing development, tiny, poor development/maturation"
Bys,2,F,40,260,6.5,"Really poorly developed and small, poor wing dev too"
Bys,2,F,40,335,8.375,
Bys,2,F,40,395,9.875,
Bys,1,M,41,413,10.073,
Bys,1,M,41,366,8.927,
Bys,1,M,41,363,8.854,
Bys,1,M,41,380,9.268,
Bys,1,M,41,383,9.341,
Bys,1,M,41,355,8.659,
Bys,1,F,41,446,10.878,
Bys,1,F,41,393,9.585,
Bys,1,F,41,441,10.756,
Bys,1,F,41,353,8.61,
Bys,1,F,41,427,10.415,
Bys,1,F,41,348,8.488,
Bys,1,F,41,298,7.268,
Bys,1,F,41,334,8.146,
Bys,1,F,41,425,10.366,
Bys,1,F,41,362,8.829,
Bys,2,F,41,348,8.488,
Bys,2,F,41,375,9.146,
Bys,2,F,41,404,9.854,
Bys,2,F,41,316,7.707,
Bys,2,F,41,374,9.122,
Bys,2,F,41,329,8.024,
Bys,2,F,41,386,9.415,
Bys,2,F,41,318,7.756,
Bys,2,F,41,337,8.22,
Bys,1,M,42,324,7.714,
Bys,1,M,42,321,7.643,
Bys,1,M,42,338,8.048,
Bys,1,M,42,355,8.452,
Bys,1,M,42,399,9.5,
Bys,1,M,42,369,8.786,
Bys,1,M,42,409,9.738,
Bys,1,M,42,332,7.905,
Bys,1,F,42,279,6.643,
Bys,1,F,42,453,10.786,
Bys,1,F,42,395,9.405,
Bys,1,F,42,379,9.024,
Bys,1,F,42,326,7.762,
Bys,1,F,42,373,8.881,
Bys,1,F,42,426,10.143,
Bys,1,F,42,347,8.262,
Bys,1,F,42,384,9.143,
Bys,1,F,42,361,8.595,
Bys,1,F,42,323,7.69,
Bys,2,M,42,316,7.524,
Bys,2,M,42,299,7.119,"Found wandering, 80% confident in group, should maybe discard?"
Bys,2,M,42,319,7.595,
Bys,2,M,42,300,7.143,
Bys,2,M,42,316,7.524,
Bys,2,M,42,351,8.357,
Bys,2,M,42,267,6.357,
Bys,2,M,42,304,7.238,
Bys,2,M,42,317,7.548,
Bys,2,M,42,301,7.167,
Bys,2,F,42,349,8.31,
Bys,2,F,42,284,6.762,
Bys,2,F,42,394,9.381,
Bys,2,F,42,414,9.857,
Bys,2,F,42,345,8.214,
Bys,2,F,42,303,7.214,
Bys,2,F,42,350,8.333,
Bys,2,F,42,343,8.167,
Bys,2,F,42,420,10,
Bys,2,F,42,321,7.643,Slightly poor wing dev
Bys,1,M,43,341,7.93,
Bys,1,M,43,320,7.442,
Bys,1,M,43,352,8.186,
Bys,1,M,43,332,7.721,
Bys,1,M,43,305,7.093,
Bys,1,M,43,273,6.349,
Bys,1,M,43,354,8.233,
Bys,1,M,43,275,6.395,
Bys,1,F,43,333,7.744,
Bys,1,F,43,371,8.628,Poor right wing dev
Bys,2,M,43,318,7.395,
Bys,2,M,43,287,6.674,
Bys,2,M,43,358,8.326,
Bys,2,M,43,300,6.977,
Bys,2,M,43,299,6.953,
Bys,2,M,43,313,7.279,"Missing left wing, poor wing dev"
Bys,2,M,43,317,7.372,
Bys,2,M,43,345,8.023,
Bys,2,M,43,343,7.977,
Bys,2,M,43,310,7.209,
Bys,2,M,43,332,7.721,
Bys,2,M,43,321,7.465,Poor left wing dev
Bys,2,M,43,274,6.372,
Bys,1,M,44,389,8.841,
Bys,1,M,44,303,6.886,
Bys,1,M,44,324,7.364,
Bys,1,M,44,286,6.5,
Bys,1,M,44,322,7.318,
Bys,2,M,44,310,7.045,
Bys,2,M,44,308,7,
Bys,2,M,44,307,6.977,
Bys,1,M,45,312,6.933,
Bys,1,M,45,300,6.667,
Bys,1,M,45,236,5.244,Missing right hind leg
Bys,1,F,45,498,11.067,
Bys,1,F,45,392,8.711,Missing 50% right hindleg
Bys,1,F,45,380,8.444,Missing left mid leg 50%
Bys,2,M,45,253,5.622,Poor wing dev
Bys,2,M,45,398,8.844,
Bys,2,M,45,408,9.067,
Bys,2,M,45,393,8.733,
Bys,2,F,45,427,9.489,
Bys,2,F,45,482,10.711,
Bys,2,F,45,511,11.356,
Bys,2,F,45,431,9.578,
Bys,1,F,46,517,11.239,
Bys,1,F,46,336,7.304,
Bys,1,F,46,425,9.239,
Bys,1,F,46,424,9.217,Missing right hind leg 25%
Bys,1,F,46,522,11.348,Poor wing dev
Bys,1,F,46,457,9.935,
Bys,1,F,46,412,8.957,
Bys,2,M,46,337,7.326,
Bys,2,M,46,382,8.304,
Bys,2,M,46,414,9,
Bys,2,M,46,398,8.652,
Bys,2,M,46,345,7.5,
Bys,2,M,46,404,8.783,
Bys,2,M,46,346,7.522,Missing function right hind leg
Bys,2,M,46,359,7.804,
Bys,2,M,46,431,9.37,
Bys,2,M,46,502,10.913,
Bys,2,F,46,399,8.674,
Bys,2,F,46,378,8.217,
Bys,2,F,46,503,10.935,
Bys,2,F,46,365,7.935,
Bys,2,F,46,423,9.196,
Bys,2,F,46,356,7.739,
Bys,2,F,46,433,9.413,
Bys,2,F,46,297,6.457,Missing left hind leg
Bys,2,F,46,391,8.5,
Bys,2,F,46,510,11.087,
Bys,2,F,46,383,8.326,
Bys,2,F,46,386,8.391,
Bys,2,F,46,454,9.87,
Bys,2,F,46,391,8.5,
Bys,2,F,46,572,12.435,
Bys,2,F,46,466,10.13,
Bys,2,F,46,402,8.739,
Bys,2,F,46,420,9.13,
Bys,2,F,46,490,10.652,
Bys,1,M,47,397,8.447,
Bys,1,M,47,330,7.021,Missing right hind leg
Bys,1,M,47,448,9.532,
Bys,1,M,47,349,7.426,
Bys,1,F,47,487,10.362,
Bys,1,F,47,416,8.851,
Bys,1,F,47,392,8.34,
Bys,1,F,47,423,9,
Bys,1,F,47,441,9.383,
Bys,1,F,47,437,9.298,
Bys,1,F,47,401,8.532,
Bys,1,F,47,419,8.915,
Bys,1,F,47,398,8.468,
Bys,1,F,47,343,7.298,
Bys,2,M,47,357,7.596,
Bys,2,M,47,320,6.809,
Bys,2,M,47,466,9.915,
Bys,2,M,47,376,8,
Bys,2,M,47,426,9.064,
Bys,2,M,47,412,8.766,
Bys,2,M,47,433,9.213,
Bys,2,F,47,427,9.085,
Bys,2,F,47,482,10.255,
Bys,2,F,47,378,8.043,
Bys,2,F,47,467,9.936,
Bys,2,F,47,445,9.468,
Bys,2,F,47,452,9.617,
Bys,2,F,47,428,9.106,
Bys,2,F,47,405,8.617,
Bys,2,F,47,393,8.362,
Bys,2,F,47,482,10.255,
Bys,1,M,48,427,8.896,
Bys,1,M,48,396,8.25,
Bys,1,M,48,422,8.792,
Bys,1,M,48,439,9.146,
Bys,1,M,48,372,7.75,
Bys,1,M,48,351,7.313,
Bys,1,M,48,379,7.896,
Bys,1,M,48,431,8.979,
Bys,1,F,48,452,9.417,
Bys,1,F,48,464,9.667,
Bys,1,F,48,425,8.854,
Bys,1,F,48,413,8.604,
Bys,1,F,48,464,9.667,
Bys,2,M,48,359,7.479,
Bys,2,M,48,345,7.188,
Bys,2,M,48,411,8.563,
Bys,2,M,48,395,8.229,
Bys,2,M,48,379,7.896,
Bys,2,M,48,340,7.083,
Bys,2,F,48,279,5.813,"Under developed left hind leg, 50%"
Bys,2,F,48,364,7.583,
Bys,1,M,49,315,6.429,
Bys,1,M,49,409,8.347,
Bys,1,M,49,449,9.163,
Bys,1,M,49,439,8.959,
Bys,1,M,49,413,8.429,
Bys,1,M,49,418,8.531,
Bys,1,F,49,375,7.653,
Bys,1,F,49,317,6.469,Missing left hind leg
Bys,1,F,49,346,7.061,slight bottom wing dev isses
Bys,2,M,49,392,8,"Missing left hind leg, small stub growing back but it’s a wisp and weighs probably nothing"
Bys,1,M,54,313,5.796,
